UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,26919,31829.27,482,8301,12296
RR,10803,17833.77,463,3856,4456
AM,66764,16108.68,1691,7217,13915
AC,12022,13631.39,212,1683,3276
DF,37252,12354.46,1884,10112,17819
PA,94036,10930.78,2328,17413,30631
CE,99578,10904.2,2050,13972,27631
MA,73314,10362.14,1293,10379,19806
PB,39912,9932.99,913,8200,15880
RO,17424,9804.05,926,3857,7574
ES,38483,9576.1,1258,7975,15092
AL,31230,9357.7,984,6363,13054
SE,20353,8854.15,470,4043,9737
RN,21774,6208.99,1699,6562,10206
RJ,103493,5994.4,2624,16530,29120
TO,9098,5784.35,332,1525,2841
PE,54022,5652.57,1191,6576,12087
SP,238822,5200.94,9347,47305,82509
PI,16227,4957.49,958,4128,7404
BA,51931,3491.61,2847,11005,19246
MT,11017,3161.75,747,3861,6500
SC,20921,2919.97,1677,5906,8327
GO,19227,2739.53,1239,6477,11847
MS,6201,2231.39,417,2037,3604
RS,22009,1934.48,1145,4881,8389
MG,31343,1480.62,1446,7996,13833
PR,16769,1466.6,1096,5684,8938
