UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2492,601.26,27,242,440
CE,4885,534.93,56,903,1875
PA,4201,488.33,10,487,1278
RJ,7672,444.37,80,965,2328
PE,3855,403.37,71,550,1048
AP,324,383.1,5,52,102
RR,200,330.16,3,61,84
AC,259,293.67,3,52,111
ES,1055,262.53,27,223,451
SP,10694,232.89,113,1549,3079
AL,744,222.93,21,143,301
MA,1467,207.34,31,297,512
RO,324,182.31,15,89,168
PB,633,157.54,10,149,273
RN,534,152.27,1,124,229
SE,330,143.56,14,113,172
PI,360,109.98,0,106,199
DF,304,100.82,11,90,134
TO,132,83.92,2,33,59
BA,1105,74.3,36,226,438
MT,213,61.13,21,112,152
GO,216,30.78,5,43,92
RS,350,30.76,6,64,126
PR,326,28.51,14,89,144
SC,195,27.22,2,24,52
MG,475,22.44,21,99,204
MS,31,11.16,3,10,11
